Id	Code	PD code	Accepted name	Genus
158	HEBBAH	Heberdenia_bahamensis	Heberdenia bahamensis (Gaertn.) Sprague	Heberdenia
165	ILEAQU	Ilex_aquifolium	Ilex aquifolium L.	Ilex
166	ILECAN	Ilex_canariensis	Ilex canariensis Poir.	Ilex
167	ILEPLA	Ilex_platyphylla	Ilex platyphylla Webb  & Berthel.	Ilex
408	JUGCIN	Juglans_cinerea	Juglans cinerea?L.	Juglans
169	JUGNIG	Juglans_nigra	Juglans nigraÊL.	Juglans
170	JUGREG	Juglans_regia	Juglans regia L.	Juglans
381	JUN	Juniperus	Juniperus spp.	Juniperus
171	JUNCED	Juniperus_cedrus	Juniperus cedrus Webb & Berthel.	Juniperus
172	JUNCOM	Juniperus_communis	Juniperus communis L.	Juniperus
173	JUNOXY	Juniperus_oxycedrus	Juniperus oxycedrus L.	Juniperus
174	JUNPHO	Juniperus_phoenicea	Juniperus phoenicea L.	Juniperus
176	JUNTHU	Juniperus_thurifera	Juniperus thurifera L.	Juniperus
177	JUNTUR	Juniperus_phoenicea_turbinata	Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman	Juniperus
498	LABALP	Laburnum_alpinum	Laburnum alpinum (Mill.) Bercht. & J.Presl	Laburnum
410	LABANA	Laburnum_anagyroides	Laburnum anagyroides?Medik.	Laburnum
181	LAR	Larix	Larix spp.	Larix
179	LARDEC	Larix_decidua	Larix decidua Mill.	Larix
180	LARKAE	Larix_kaempferi	Larix kaempferi (Lamb.) Carrière sec. Franco	Larix
183	LAUAZO	Laurus_azorica	Laurus azorica (Seub.) Franco	Laurus
184	LAUNOB	Laurus_nobilis	Laurus nobilis L.	Laurus
453	LIQSTY	Liquidambar_styraciflua	LiquidambarÊstyracifluaÊL.	Liquidambar
411	LIRTUL	Liriodendron_tulipifera	Liriodendron tulipifera?L.	Liriodendron
197	MALSYL	Malus_sylvestris	Malus sylvestris Mill.	Malus
202	MOR	Morus	Morus spp.	Morus
200	MORALB	Morus_alba	Morus albaÊL.	Morus
201	MORNIG	Morus_nigra	Morus nigraÊL.	Morus
205	MYRCOM	Myrtus_communis	Myrtus communis L.	Myrtus
203	MYRFAY	Myrica_faya	Myrica faya Aiton	Myrica
207	OCOFOE	Ocotea_foetens	Ocotea foetens (Aiton) Benth. & Hook.	Ocotea
208	OLEEUR	Olea_europaea	Olea europaea L.	Olea
473	OSTCAR	Ostrya_carpinifolia	Ostrya carpinifoliaÊScop.	Ostrya
213	PERIND	Persea_indica	Persea indica (L.) Spreng.	Persea
